id,latitude,longitude,alcance_m
1,-18.87049848678609,-46.11182284987263,1488
2,-30.60472627800082,-52.4750208316602,411
3,-19.140995068065656,-35.90781802403198,1120
4,0.3453672022719534,-55.63009256267439,1149
5,-10.567201233740054,-46.47586966138395,1684
6,3.97287504335192,-45.53897565181777,1780
7,0.097821184544891,-54.312672941832375,963
8,-14.742777727934923,-42.97438252250279,976
9,0.0535519558491328,-60.8811746330258,697
10,-10.666069984556357,-38.0202908585846,1697
11,-0.1807792311449763,-47.15132511808224,1353
12,-4.487820851700517,-58.635484975190025,1143
13,-17.717438369395595,-43.01428268692477,403
14,-9.65134804184182,-67.1271397389617,404
15,-0.9701668271915748,-46.54036826852246,1788
16,-17.459435979562482,-73.51729629444998,790
17,-13.378087525442382,-57.35127854612296,1748
18,-24.740691823886134,-36.65198883725212,1618
19,-25.582161492659395,-34.784130769061164,653
20,-14.313174497361008,-52.09214226422014,1413
21,-3.1729380166199714,-35.82917599410469,1601
22,-22.67166734272641,-43.3126590312914,1054
23,-15.039784917549504,-49.27075427179854,753
24,-12.00153543539965,-39.72042941432226,1578
25,-6.598932339482509,-63.84902825059432,1407
26,0.9354500914599077,-60.45442598707059,379
27,-4.314376095489742,-52.26321820617109,1583
28,-24.95281815998204,-47.8848293650735,1614
29,-6.377272886433877,-41.37110460294792,1515
30,-11.60237810176726,-50.75082644416199,1448
31,-0.8037223337086035,-60.414282019600414,581
32,-33.57435042396649,-43.39962917407694,1748
33,0.1332642050497572,-55.69496580835535,1219
34,0.4914941098855365,-45.5485845218112,400
35,-24.88906557628615,-44.7883591878325,1402
36,-27.689181512385343,-72.28757205137373,1742
37,-2.187914058872188,-54.37806053108392,1053
38,4.725045861799826,-55.331158833520206,730
39,-15.697956740950747,-34.804282250218776,1758
40,-24.03457244255012,-46.30570129135707,1631
41,-13.579611640387702,-53.44817242303277,1563
42,0.4335294904593612,-58.16793664402387,1652
43,-19.05508598383524,-45.09003339041705,1016
44,-3.2400013384484687,-35.125605733349765,457
45,-29.022769851867185,-65.53862253411992,1673
46,-30.254152000729604,-46.713234402782106,1206
47,-26.388243322103957,-36.93026417342023,736
48,-21.7829915791013,-45.85781025877828,754
49,-6.454253007703468,-68.18918738245745,1087
50,-2.519894846048137,-43.0150199700679,781
51,0.8368214221559711,-45.58120277500928,949
52,-9.541816137742858,-53.94376317025149,1703
53,-22.22907783459661,-41.66099528025957,1261
54,-7.085355603447105,-37.74855351703877,1568
55,-33.10386066456268,-34.88687283225633,905
56,-13.5197999777137,-45.64325636288951,865
57,-7.005244033456304,-43.10817829908978,365
58,-3.2669473225380963,-57.34023142359311,1653
59,-3.900144584271224,-42.83221095920905,1041
60,-19.134288508117294,-48.20102181081891,634
61,-6.487500404888888,-44.53467607593181,1608
62,-28.08888343565254,-43.283135734731175,1501
63,-32.81212483110001,-50.37954648762261,1652
64,4.614252446591587,-54.768857903826536,1236
65,3.289272124599973,-52.345055245758765,1268
66,4.212596653278693,-46.423808898584326,1772
67,-0.3314808982630266,-50.44805229409424,783
68,-27.93464845356577,-45.41055791009851,914
69,4.423341084341354,-52.69066093909407,1198
70,-27.511619812597036,-46.52325464770762,906
71,-28.21877364293851,-37.4236440855317,1686
72,-29.27228337545828,-51.42283612250954,809
73,-7.850746519149379,-40.44601769970257,1019
74,-30.839545926510617,-40.071165477526094,631
75,-6.491554189873728,-39.97488417653715,1518
76,3.712887418398717,-54.45079204349472,1142
77,-23.514710625555857,-69.10761925274193,542
78,0.6973262349808902,-52.11073318259804,1727
79,4.9001985041443845,-53.29004509893603,1443
80,-23.054336412491416,-42.749626202099805,1365
81,-19.502259500280413,-41.666713337947215,386
82,-17.686525746316146,-73.93683991379756,1688
83,-29.43109913794496,-42.29974531339428,1112
84,-13.153067909878953,-53.24325742749908,1625
85,-24.0550737145206,-37.67062680671325,1567
86,-21.46157770468831,-38.65460347008898,996
87,-10.52942024156088,-39.44998672424502,1284
88,-33.12768733798528,-62.83353907575493,1466
89,-5.733304654151233,-66.25150145927884,1022
90,-18.347338760700787,-38.48647621308543,706
91,-27.44157910720377,-50.66298417885512,1678
92,-14.746422227707209,-44.993876065668175,1783
93,1.5122730266686544,-49.4208417186542,726
94,-28.538112571519104,-53.79270743520735,968
95,-20.88256025326072,-37.32491515124313,1522
96,4.756758322628798,-57.03840592001185,1246
97,-20.081383523828777,-51.79676925864413,1727
98,-5.128849214664953,-56.93553247416961,1466
99,-7.047116067479996,-54.92632136253454,1568
100,-0.856083996063056,-47.01188615833183,1412
101,-30.978172635305576,-36.06833350310476,1440
102,-6.698195924179538,-37.29236658655499,997
103,-12.492231031464073,-37.93888080021391,830
104,-24.97635499719048,-45.7665157790222,1263
105,-11.785417955297786,-38.75931596231237,547
106,-15.945507168640134,-38.23232969279575,1304
107,-12.72335316602588,-49.13502347539496,1059
108,-10.79403456004685,-61.71397557889202,1439
109,-2.782240638577024,-50.574409891857066,800
110,-9.445271103437689,-40.57125647290725,989
111,-1.0319454967410762,-44.24860563471411,1242
112,-28.93858648864205,-73.61876521948544,551
113,4.902397064684953,-53.35941722933484,1088
114,2.3755383893198108,-45.660726441532056,1570
115,-15.36151450434348,-34.148585139828455,627
116,-23.68357480166013,-65.95792698193554,1639
117,-13.46836465238496,-55.87232889523553,1310
118,-14.846915051020655,-52.27135781699387,1591
119,-22.08148574134456,-49.12255508284041,1771
120,-19.9328076026943,-43.49385056215057,1395
121,-17.713471858757078,-66.58288718841408,1356
122,-30.786420214808672,-39.363489918254935,1702
123,-10.894900673940676,-37.07235749334394,985
124,-13.21417802762044,-53.20276669525998,1765
125,-19.400273751633584,-37.22184963292893,1153
126,-12.736620252951134,-48.011170300824965,1142
127,-25.114505644237376,-47.52588161847808,1671
128,-1.540941678497922,-49.83533967292243,1505
129,-2.5513048428502234,-37.32007821179578,1470
130,1.002255920302245,-54.937268032665,1403
131,4.387000878007092,-58.98893514845111,821
132,-31.38647427561436,-50.65544988275631,622
133,-33.94007907595065,-36.39194598295036,1631
134,-14.839862361733122,-73.82479007947644,1558
135,-29.38542223663879,-45.72122903952609,1114
136,-6.679723074089576,-60.084664541442784,1258
137,-3.7740199780555432,-42.54834439326613,515
138,-3.507449037053493,-58.99023160476264,1233
139,-19.504355190610024,-44.6164651352006,1694
140,-5.422611785674517,-40.28919142549337,1705
141,-10.796750282228745,-34.02609588117057,1542
142,-17.813229880149148,-48.255026699244304,1570
143,-7.3732871706211505,-71.24765593616254,532
144,-26.22671593818821,-70.6792740939754,1723
145,-8.324245237271697,-38.60939422418281,1611
146,-30.27840039394408,-48.48378181625121,1590
147,-9.3618761648233,-71.73214560206978,1357
148,-30.97723462746113,-72.16903841934212,1334
149,-23.178726497134864,-38.67702268483048,338
150,-21.29956902792501,-38.450119376328,517
151,-6.903496556657073,-39.06769041187239,1711
152,-0.9923747616126316,-57.87291963151537,529
153,-20.153112152924773,-48.25698913124286,439
154,-10.200586369439884,-39.280019546616735,1447
155,-18.834931797401268,-51.15218772689455,1647
156,-16.324021088644752,-36.95934923344463,1338
157,-28.916066825028985,-40.82125530477105,1589
158,-8.280037218157661,-38.15594652933824,1564
159,-7.208083936256689,-44.79997003035564,625
160,-0.8128634687782235,-60.77303626677405,1597
161,-2.6075268170268124,-56.8044755485882,924
162,-28.39389648292565,-70.8276171366176,593
163,-16.030758864630087,-37.90444912656695,1106
164,-22.56355723066364,-35.08325634264147,776
165,-20.32376485881529,-39.286204245435535,691
166,-9.49406073171336,-57.90282874013245,1677
167,-1.70421829029633,-47.87208304299482,366
168,-2.229911899004634,-34.62186571399053,1037
169,-6.163872275639974,-55.84939386526979,1079
170,-4.714783485669381,-44.43561520217956,1272
171,-11.907536779439951,-42.18855981934645,1028
172,-25.679261440452628,-72.58736555974978,730
173,-28.39667295620065,-49.35401433015388,1774
174,-29.603748019115702,-66.96014355472359,1274
175,-10.482509109259311,-43.900295594725975,543
176,-11.597880413638956,-35.44250515473756,1618
177,-23.72730637386085,-42.776450404320215,748
178,-13.74900287232322,-34.69848699357829,1284
179,-19.27730459233311,-48.88574496506741,1110
180,-0.7323569096132223,-49.75461970616517,1703
181,-13.562293869432862,-46.92525175653913,1493
182,-18.14943999377806,-44.911172731802544,562
183,-31.08001367296744,-51.336686722139085,1309
